source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,densenet121,bcosify,densenet121,epsilon_0.05,1000,927,0.927,927,0.927
torchvision,densenet121,bcosify,densenet121,epsilon_0.1,1000,980,0.98,980,0.98
torchvision,densenet121,bcosify,densenet121,epsilon_0.2,1000,997,0.997,997,0.997
