source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,vit_b_16,bcosify,densenet121,epsilon_0.03,1000,78,0.078,78,0.078
torchvision,vit_b_16,bcosify,densenet121,epsilon_0.05,1000,119,0.119,119,0.119
torchvision,vit_b_16,bcosify,densenet121,epsilon_0.1,1000,260,0.26,260,0.26
torchvision,vit_b_16,bcosify,densenet121,epsilon_0.2,1000,512,0.512,512,0.512
