source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,resnet50,bcos,densenet121,epsilon_0.05,1000,60,0.06,60,0.06
torchvision,resnet50,bcos,densenet121,epsilon_0.1,1000,162,0.162,162,0.162
torchvision,resnet50,bcos,densenet121,epsilon_0.2,1000,346,0.346,346,0.346
