source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,vit_b_16,bcosify,resnet50,epsilon_0.03,1000,60,0.06,60,0.06
torchvision,vit_b_16,bcosify,resnet50,epsilon_0.05,1000,96,0.096,96,0.096
torchvision,vit_b_16,bcosify,resnet50,epsilon_0.1,1000,212,0.212,212,0.212
torchvision,vit_b_16,bcosify,resnet50,epsilon_0.2,1000,432,0.432,432,0.432
