source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,densenet121,bcosify,simple_vit_b_patch16_224,epsilon_0.05,1000,43,0.043,44,0.044
torchvision,densenet121,bcosify,simple_vit_b_patch16_224,epsilon_0.1,1000,85,0.085,86,0.086
torchvision,densenet121,bcosify,simple_vit_b_patch16_224,epsilon_0.2,1000,198,0.198,199,0.199
