source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,resnet50,bcos,simple_vit_b_patch16_224,epsilon_0.05,1000,20,0.02,20,0.02
torchvision,resnet50,bcos,simple_vit_b_patch16_224,epsilon_0.1,1000,35,0.035,35,0.035
torchvision,resnet50,bcos,simple_vit_b_patch16_224,epsilon_0.2,1000,72,0.072,72,0.072
