source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,densenet121,bcos,densenet121,epsilon_0.05,1000,447,0.447,448,0.448
torchvision,densenet121,bcos,densenet121,epsilon_0.1,1000,672,0.672,672,0.672
torchvision,densenet121,bcos,densenet121,epsilon_0.2,1000,841,0.841,841,0.841
