source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,densenet121,bcos,simple_vit_b_patch16_224,epsilon_0.05,1000,56,0.056,55,0.055
torchvision,densenet121,bcos,simple_vit_b_patch16_224,epsilon_0.1,1000,91,0.091,90,0.09
torchvision,densenet121,bcos,simple_vit_b_patch16_224,epsilon_0.2,1000,191,0.191,190,0.19
