source_model_type,source_model_name,target_model_type,target_model_name,epsilon,total,success_vs_true,asr_vs_true,success_vs_source_clean,asr_vs_source_clean
torchvision,resnet50,bcosify,resnet50,epsilon_0.05,1000,212,0.212,212,0.212
torchvision,resnet50,bcosify,resnet50,epsilon_0.1,1000,409,0.409,409,0.409
torchvision,resnet50,bcosify,resnet50,epsilon_0.2,1000,676,0.676,676,0.676
